0	43	71
1	8	30
2	29	35
3	45	74
4	31	47
5	6	49
6	49	5
7	57	48
8	1	4
9	41	95
10	73	68
11	31	4
12	70	54
13	78	60
14	52	23
15	18	19
16	52	17
17	84	16
18	24	55
19	22	24
20	44	31
21	67	66
22	19	83
23	90	44
24	18	55
25	12	14
26	56	25
27	41	63
28	43	62
29	47	4
30	1	94
31	11	4
32	73	85
33	20	44
34	14	17
35	29	2
36	66	54
37	55	49
38	73	34
39	90	1
40	28	62
41	27	96
42	50	67
43	28	56
44	20	31
45	27	41
46	49	55
47	4	29
48	54	85
49	6	46
50	52	84
51	12	70
52	50	16
53	66	14
54	66	48
55	37	46
56	28	26
57	88	6
58	92	7
59	71	62
60	13	78
61	14	50
62	28	71
63	27	41
64	66	54
65	24	37
66	53	54
67	81	50
68	10	73
69	79	7
70	78	12
71	59	62
72	47	8
73	10	32
74	45	3
75	70	25
76	96	52
77	91	46
78	70	13
79	69	48
80	25	26
81	67	70
82	61	21
83	3	22
84	50	17
85	48	32
86	5	49
87	30	42
88	57	95
89	10	68
90	39	23
91	77	46
92	58	95
93	35	40
94	30	1
95	41	9
96	41	16
97	90	44
